nom,secteur,priorite,url_carrieres,ats,ats_tenant,compte_cree,candidatures_mois,actif
Malt,Tech & Scale-up,3,https://jobs.lever.co/malt,lever,malt,non,0,oui
Younited,Tech & Scale-up,3,https://jobs.lever.co/younited,lever,younited,non,0,oui
Lydia,Tech & Scale-up,3,https://jobs.lydia-app.com/,teamtailor,www,non,0,oui
Pennylane,Tech & Scale-up,3,https://jobs.ashbyhq.com/pennylane,ashby,pennylane,non,0,oui
Publicis Groupe,Medias & Communication,3,,inconnu,,non,0,oui
Havas,Medias & Communication,3,,inconnu,,non,0,oui
JCDecaux,Medias & Communication,3,https://job-boards.greenhouse.io/jcdecaux,greenhouse,jcdecaux,non,0,oui
Lagardere,Medias & Communication,3,https://careers.lagardere.com/,teamtailor,lagardere,non,0,oui
TF1,Medias & Communication,3,https://carrieres.groupe-tf1.fr/,successfactors,successfactors,non,0,oui
M6,Medias & Communication,3,,inconnu,,non,0,oui
France Televisions,Medias & Communication,3,https://recrutement.francetelevisions.fr/,successfactors,francetele,non,0,oui
Radio France,Medias & Communication,3,https://www.radiofrance.com/nous-rejoindre,talentsoft,radiofrance-recrute,non,0,oui
Canal+,Medias & Communication,3,,inconnu,,non,0,oui
Prisma Media,Medias & Communication,3,https://emploi.prismamedia.com/,teamtailor,prismamedia-demo,non,0,oui
Le Monde,Medias & Communication,3,,inconnu,,non,0,oui
Les Echos-Le Parisien,Medias & Communication,3,,inconnu,,non,0,oui
Webedia,Medias & Communication,3,,inconnu,,non,0,oui
Teads,Medias & Communication,3,,inconnu,,non,0,oui
Ipsos,Medias & Communication,3,,inconnu,,non,0,oui
Kantar France,Medias & Communication,3,https://kantar.wd3.myworkdayjobs.com/kantar,workday,kantar,non,0,oui
Nielsen France,Medias & Communication,3,https://www.nielsen.com/careers/,smartrecruiters,thenielsencompany,non,0,oui
La Poste,Secteur public & Parapublic,3,,inconnu,,non,0,oui
Docaposte,Secteur public & Parapublic,3,,inconnu,,non,0,oui
France Travail,Secteur public & Parapublic,3,https://francetravail.recruitee.com,recruitee,francetravail,non,0,oui
Urssaf Caisse Nationale,Secteur public & Parapublic,3,,inconnu,,non,0,oui
CNAM,Secteur public & Parapublic,3,https://cnam.csod.com/error.aspx,cornerstone,cnam,non,0,oui
CNAF,Secteur public & Parapublic,3,,inconnu,,non,0,oui
CNES,Secteur public & Parapublic,3,https://cnes.csod.com/error.aspx,cornerstone,cnes,non,0,oui
ONERA,Secteur public & Parapublic,3,,inconnu,,non,0,oui
IFP Energies Nouvelles,Secteur public & Parapublic,3,,inconnu,,non,0,oui
ADEME,Secteur public & Parapublic,3,,inconnu,,non,0,oui
Business France,Secteur public & Parapublic,3,https://www.businessfrance.fr/nous-decouvrir/nous-rejoindre,talentsoft,businessfrance-recrute,non,0,oui
Francaise des Jeux,Secteur public & Parapublic,3,,inconnu,,non,0,oui
PMU,Secteur public & Parapublic,3,https://pmu.teamtailor.com/jobs,teamtailor,pmu,non,0,oui
Voies Navigables de France,Secteur public & Parapublic,3,,inconnu,,non,0,oui
Aeroports de Paris,Secteur public & Parapublic,3,,inconnu,,non,0,oui
